000b0006         1000000200020908032230040000000009083000000000000000
000b0005         1000000200020908032230030000000009083000000000000000
000b0004         1000000200020908032230020000000009083000000000000000
000b0003         1000000200020908032230010000000009083000000000000000
000b0002         1000000200020908032230000000000009083000000000000000
000b0001         1000000200020908061904000000ff0009083000000000000000
000a000f         1000000200020908032204140000000009083000000000000000
000a000e         1000000200020908032204130000000009083000000000000000
000a000d         1000000200020908032204120000000009083000000000000000
000a000c         1000000200020908032204110000000009083000000000000000
000a000b         1000000200020908032204100000000009083000000000000000
000a000a         1000000200020908032204090000000009083000000000000000
000a0009         1000000200020908032204080000000009083000000000000000
000a0008         1000000200020908032204070000000009083000000000000000
000a0007         1000000200020908032204060000000009083000000000000000
000a0006         1000000200020908032204050000000009083000000000000000
000a0005         1000000200020908032204040000000009083000000000000000
000a0004         1000000200020908032204030000000009083000000000000000
000a0003         1000000200020908032204020000000009083000000000000000
000a0002         1000000200020908032204010000000009083000000000000000
000a0001         1000000200020908032204000000000009083000000000000000
000a0010         1000000200020908032204150000000009083000000000000000
000d0001         100000020002090803220a050000000009083000000000000000
000c000f         0a08e480062f0c0703200f
000c000e         0a08e480062f0c0703100f
000c000d         0a08e480062f0c0703080f
000c000c         0a08e480062f0c0703040f
000c000b         0a08e480062f0c0703020f
000c000a         0808e480042f0c0700
000c0009         0a08e480062f0c0703000f
000c0008         0a08e480062f0c0703010f
000c0007         100000020002090803220c060000000009083000000000000000
000c0006         100000020002090803220c050000000009083000000000000000
000c0005         100000020002090803220c040000000009083000000000000000
000c0004         100000020002090803220c030000000009083000000000000000
000c0003         100000020002090803220c020000000009083000000000000000
000c0002         100000020002090803220c010000000009083000000000000000
000c0001         100000020002090803220c000000000009083000000000000000
000c0017         0a08e480062f0c0803080f
000c0016         0a08e480062f0c0803040f
000c0015         0a08e480062f0c0803020f
000c0014         0808e480042f0c0800
000c0013         0a08e480062f0c0803000f
000c0012         0a08e480062f0c0803010f
000c0011         0a08e480062f0c0703800f
000c0010         0a08e480062f0c0703400f
000f0009         0808e460042f0b9000
000f0008         0908e460052f0b900300
000f0007         0908e460052f0b900380
000f0006         0808e460042f0b8000
000f0005         0908e460052f0b800300
000f0004         0908e460052f0b800380
000f0003         100000020002090803220b300000000009083000000000000000
000f0002         100000020002090803220b200000000009083000000000000000
000f0001         100000020002090803220b100000000009083000000000000000
000e0006         1000000200020908032216020000000009083000000000000000
000e0005         1000000200020908032216010000000009083000000000000000
000e0004         1000000200020908032216000000000009083000000000000000
000e0003         1000000100000908062702349865ce00
000e0002         10000001000009080227010000000000
000e0001         10000001000009080210030000000000
ffffff04         0b0800000322002000000000
ffffff03         18080000142ef102ffffffffffffffffffffffffffffffffff
ffffff02         18080000142ef190ffffffffffffffffffffffffffffffffff
ffffff01         0b0800000322f19000000000
ffffff12         179300003b90202020202020202020202020202020202011
ffffff11         068200001a906d
ffff0003         0b08ffff0210010000000000
ffff0002         0682ffff108300
ffff0001         0b08ffff0210030000000000
ffff0105         0b08ffff0427220000000000
ffff0104         0b08ffff0227210000000000
ffff0103         0b08ffff0627020000000000
ffff0102         0b08ffff0427020000000000
ffff0101         0b08ffff0227010000000000
