65510018         10000002000209080322f10a0000000009083000140000000000
65510019         10000002000209080322f10b0000000009083000140000000000
6551001a         10000002000209080322f10c0000000009083000140000000000
6551001b         10000002000209080322f10d0000000009083000140000000000
65510014         10000002000209080322f1060000000009083000140000000000
65510015         10000002000209080322f1070000000009083000140000000000
65510016         10000002000209080322f1080000000009083000140000000000
65510017         10000002000209080322f1090000000009083000140000000000
65510010         10000002000209080322f1020000000009083000140000000000
65510011         10000002000209080322f1030000000009083000140000000000
65510012         10000002000209080322f1040000000009083000140000000000
65510013         10000002000209080322f1050000000009083000140000000000
6551002c         10000002000209080322f11e0000000009083000140000000000
6551002d         0808f020042f000103
6551002e         0808f020042f000102
6551002f         0808f020042f00010c
65510028         10000002000209080322f11a0000000009083000140000000000
65510029         10000002000209080322f11b0000000009083000140000000000
6551002a         10000002000209080322f11c0000000009083000140000000000
6551002b         10000002000209080322f11d0000000009083000140000000000
65510024         10000002000209080322f1160000000009083000140000000000
65510025         10000002000209080322f1170000000009083000140000000000
65510026         10000002000209080322f1180000000009083000140000000000
65510027         10000002000209080322f1190000000009083000140000000000
65510020         10000002000209080322f1120000000009083000140000000000
65510021         10000002000209080322f1130000000009083000140000000000
65510022         10000002000209080322f1140000000009083000140000000000
65510023         10000002000209080322f1150000000009083000140000000000
65510034         0808f020042f000180
65510030         0808f020042f000108
65510031         0808f020042f000130
65510032         0808f020042f000120
65510033         0808f020042f0001c0
65514300         0708f0200322f18b
65514301         1308f0200f2ef18b000000000000000000000000
6556000c         10000002000209080322f1900000000009083000140000000000
6556000d         10000002000209080322f1920000000009083000140000000000
6556000e         10000002000209080322f1930000000009083000140000000000
6556000f         10000002000209080322f1940000000009083000140000000000
65560008         10000002000209080322f1870000000009083000140000000000
65560009         10000002000209080322f1880000000009083000140000000000
6556000a         10000002000209080322f1890000000009083000140000000000
6556000b         10000002000209080322f18a0000000009083000140000000000
65560004         1000000200020908031902090000000009083000140000000000
65560005         1000000200020908031902080000000009083000140000000000
65560006         10000002000209080414ffffff00000009083000140000000000
65560007         10000002000209080322f1860000000009083000140000000000
65560001         10000001000009080210010000000000
65560002         010280ff07d00908023e000000000000
65560003         0102000000000908023e000000000000
65560014         1000000200020908032260040000000009083000140000000000
65560010         10000002000209080322f1950000000009083000140000000000
65560011         1000000200020908032260000000000009083000140000000000
65560012         1000000200020908032260010000000009083000140000000000
65560013         1000000200020908032260020000000009083000140000000000
6557000c         10000002000209080322f1950000000009083000140000000000
6557000d         10000002000209080322f19d0000000009083000140000000000
6557000e         10000002000209080322f1900000000009083000140000000000
6557000f         1000000200020908032205000000000009083000140000000000
65570008         10000002000209080322f1870000000009083000140000000000
65570009         10000002000209080322f1890000000009083000140000000000
6557000a         10000002000209080322f18a0000000009083000140000000000
6557000b         10000002000209080322f1930000000009083000140000000000
65570004         1000000200020908031902090000000009083000140000000000
65570005         1000000200020908031902080000000009083000140000000000
65570006         10000002000209080414ffffff00000009083000140000000000
65570007         10000002000209080322f1120000000009083000140000000000
65570001         10000001000009080210010000000000
65570002         010280ff07d00908023e000000000000
65570003         0102000000000908023e000000000000
6557001c         0908e6c0052ff0820301
6557001d         0908e6c0052ff0820302
6557001e         0908e6c0052ff0820303
6557001f         0908e6c0052ff0820304
65570018         0908e6c0052ff0810301
65570019         0908e6c0052ff0810300
6557001a         0908e6c0052ff0810000
6557001b         0908e6c0052ff0820300
65570014         1000000200020908032205050000000009083000140000000000
65570015         1000000200020908032205060000000009083000140000000000
65570016         1000000200020908032205070000000009083000140000000000
65570017         1000000200020908032205080000000009083000140000000000
65570010         1000000200020908032205010000000009083000140000000000
65570011         1000000200020908032205020000000009083000140000000000
65570012         1000000200020908032205030000000009083000140000000000
65570013         1000000200020908032205040000000009083000140000000000
6557002c         0908e6c0052ff0850306
6557002d         0908e6c0052ff0850307
6557002e         0908e6c0052ff0850300
6557002f         0908e6c0052ff0850000
65570028         0908e6c0052ff0850302
65570029         0908e6c0052ff0850303
6557002a         0908e6c0052ff0850304
6557002b         0908e6c0052ff0850305
65570024         0908e6c0052ff0840300
65570025         0908e6c0052ff0840364
65570026         0908e6c0052ff0840000
65570027         0908e6c0052ff0850301
65570020         0908e6c0052ff0820000
65570021         0908e6c0052ff0830300
65570022         0908e6c0052ff0830301
65570023         0908e6c0052ff0830000
65574400         0708e6c00322f112
65574401         1008e6c00c2ef112000000000000000000
6555000c         10000002000209080322f19d0000000009083000140000000000
6555000d         1000000200020908032203010000000009083000140000000000
6555000e         1000000200020908032203020000000009083000140000000000
6555000f         1000000200020908032203030000000009083000140000000000
65550008         10000002000209080322f1950000000009083000140000000000
65550009         10000002000209080322f1900000000009083000140000000000
6555000a         10000002000209080322f18a0000000009083000140000000000
6555000b         10000002000209080322f1870000000009083000140000000000
65550004         1000000200020908031902090000000009083000140000000000
65550005         1000000200020908031902080000000009083000140000000000
65550006         10000002000209080414ffffff00000009083000140000000000
65550007         10000002000209080322f1930000000009083000140000000000
65550001         10000001000009080210010000000000
65550002         010280ff07d00908023e000000000000
65550003         0102000000000908023e000000000000
6555001c         1000000200020908032203160000000009083000140000000000
6555001d         1000000200020908032203170000000009083000140000000000
6555001e         1000000200020908032203180000000009083000140000000000
6555001f         1000000200020908032203190000000009083000140000000000
65550018         1000000200020908032203120000000009083000140000000000
65550019         1000000200020908032203130000000009083000140000000000
6555001a         1000000200020908032203140000000009083000140000000000
6555001b         1000000200020908032203150000000009083000140000000000
65550014         1000000200020908032203080000000009083000140000000000
65550015         1000000200020908032203090000000009083000140000000000
65550016         1000000200020908032203100000000009083000140000000000
65550017         1000000200020908032203110000000009083000140000000000
65550010         1000000200020908032203040000000009083000140000000000
65550011         1000000200020908032203050000000009083000140000000000
65550012         1000000200020908032203060000000009083000140000000000
65550013         1000000200020908032203070000000009083000140000000000
65550024         0a08f000062f03f103ff04
