24100212         0b08fc20052fd30203010000
24100213         0b08fc20052fd30203000000
24100210         0b08fc20052fd30003000000
24100211         0b08fc20042fd30000000000
24100216         0b08fc20052fd30303000000
24100217         0b08fc20042fd30300000000
24100214         0b08fc20042fd30200000000
24100215         0b08fc20052fd30303010000
24100202         0b08fc20042fd20000000000
24100203         0b08fc20052fd20103000000
24100201         0b08fc20052fd20003000000
24100206         0b08fc20042fd20200000000
24100207         0b08fc20052fd20303000000
24100204         0b08fc20042fd20100000000
24100205         0b08fc20052fd20203000000
2410020a         0b08fc20042fd20400000000
2410020b         0b08fc20052fd20503000000
24100208         0b08fc20042fd20300000000
24100209         0b08fc20052fd20403000000
2410020e         0b08fc20042fd20600000000
2410020f         0b08fc20052fd30003010000
2410020c         0b08fc20042fd20500000000
2410020d         0b08fc20052fd20603000000
24120012         1008e2800c2f3700030002000000020000
24120013         1008e2800c2f3700030000000000000000
24120010         1008e2800c2f3700030001000000010000
24120011         1008e2800c2f3700030000000000000000
24120016         1008e2800c2f3700030008000000080000
24120017         1008e2800c2f3700030000000000000000
24120014         1008e2800c2f3700030004000000040000
24120015         1008e2800c2f3700030000000000000000
2412001a         1008e2800c2f3700030020000000200000
2412001b         1008e2800c2f3700030000000000000000
24120018         1008e2800c2f3700030010000000100000
24120019         1008e2800c2f3700030000000000000000
2412001e         1008e2800c2f3700000000000000000000
2412001c         1008e2800c2f3700030040000000400000
2412001d         1008e2800c2f3700030000000000000000
24120002         1008e2800c2f3700030200000002000000
24120003         1008e2800c2f3700030000000000000000
24120000         1008e2800c2f3700030100000001000000
24120001         1008e2800c2f3700030000000000000000
24120006         1008e2800c2f3700030800000008000000
24120007         1008e2800c2f3700030000000000000000
24120004         1008e2800c2f3700030400000004000000
24120005         1008e2800c2f3700030000000000000000
2412000a         1008e2800c2f3700032000000020000000
2412000b         1008e2800c2f3700030000000000000000
24120008         1008e2800c2f3700031000000010000000
24120009         1008e2800c2f3700030000000000000000
2412000e         1008e2800c2f3700038000000080000000
2412000f         1008e2800c2f3700030000000000000000
2412000c         1008e2800c2f3700034000000040000000
2412000d         1008e2800c2f3700030000000000000000
24121202         0a08e480052f0010030100
24121203         0a08e480052f3c00030100
24121200         0a08e480052f0010030200
24121201         0a08e480052f0010030000
24121206         0a08e480052f3c01030000
24121207         0a08e480052f3c02030100
24121204         0a08e480052f3c00030000
24121205         0a08e480052f3c01030100
2412120a         0a08e480052f3c03030100
2412120b         0a08e480052f3c03030200
24121208         0a08e480052f3c02030000
24121209         0a08e480052f3c03030000
2412120e         0a08e480042f3c02000000
2412120f         0a08e480042f3c03000000
2412120c         0a08e480042f3c00000000
2412120d         0a08e480042f3c01000000
241b0122         00e4200414ffffff
241b0123         00e420021001
241b0120         00e420053101590804
241b0121         00e4200431035908
241b0126         00e420132e0910
241b0127         00e42003220910
241b0124         00e4200431015905
241b0125         00e4200431035905
241b012a         00e420132e0203
241b012b         00fc0003220203
241b0128         00e420092ef010
241b0129         00e4200322f010
241b0112         00e4200431015903
241b0113         00e4200431035903
241b0110         00e4200431015906
241b0111         00e4200431035906
241b0116         00e420132e090d
241b0117         00e4200322090d
241b0114         00e4200431015904
241b0115         00e4200431035904
241b011a         00e420053101580802
241b011b         00e420053101580803
241b0118         00e420053101580800
241b0119         00e420053101580801
241b011e         00e420053101590802
241b011f         00e420053101590803
241b011c         00e4200431035808
241b011d         00e420053101590801
241b0102         00e420022701
241b0103         00e420062702
241b0101         00e420021003
241b0106         00e4200322f193
241b0107         00e4200431015901
241b0104         00e4200322f18a
241b0105         00e4200322f195
241b010a         00e420142ef190
241b010b         00e4200322f190
241b0108         00e4200431035901
241b010e         00e4200431015902
241b010f         00e4200431035902
241b010c         00e420022709
241b010d         00e42006270a
241b00a2         0a08e420062f39290301ff
241b00a3         0a08e420062f392a0301ff
241b00a0         0a08e420062f39290300ff
241b00a1         0908e420042f39290000
241b00a6         0a08e420062f392e0300ff
241b00a7         0a08e420062f392e0301ff
241b00a4         0a08e420062f392a0300ff
241b00a5         0908e420042f392a0000
241b00a8         0a08e420062f392e0302ff
241b00a9         0908e420042f392e0000
241b0092         0a08e420062f39240302ff
241b0093         0a08e420062f39240300ff
241b0090         0a08e420062f39230302ff
241b0091         0a08e420062f39230301ff
241b0096         0a08e420062f39260304ff
241b0097         0a08e420062f39260300ff
241b0094         0908e420042f39240000
241b0095         0a08e420062f39240301ff
241b009a         0a08e420062f39260301ff
241b009b         0a08e420062f39270300ff
241b0098         0908e420042f39260000
241b0099         0a08e420062f39260302ff
241b009e         0908e420042f39270000
241b009f         0a08e420062f39290302ff
241b009c         0a08e420062f39270301ff
241b009d         0a08e420062f39270302ff
241b0082         0a08e420062f39210302ff
241b0083         0a08e420062f39210301ff
241b0080         0a08e420062f39210308ff
241b0081         0a08e420062f39210304ff
241b0086         0908e420042f39220000
241b0087         0a08e420062f39220310ff
241b0084         0a08e420062f39220320ff
241b0085         0a08e420062f39220300ff
241b008a         0a08e420062f39220301ff
241b008b         0a08e420062f39230310ff
241b0088         0a08e420062f39220308ff
241b0089         0a08e420062f39220302ff
241b008e         0a08e420062f39230308ff
241b008f         0a08e420062f39230304ff
241b008c         0a08e420062f39230300ff
241b008d         0908e420042f39230000
241b0032         0a08e420062f39050302ff
241b0033         0a08e420062f39050301ff
241b0030         0a08e420062f39050308ff
241b0031         0a08e420062f39050304ff
241b0036         0908e420042f39060000
241b0037         0a08e420062f39060304ff
241b0034         0a08e420062f39060308ff
241b0035         0a08e420062f39060300ff
241b003a         0a08e420062f39070320ff
241b003b         0a08e420062f39070300ff
241b0038         0a08e420062f39060302ff
241b0039         0a08e420062f39060301ff
241b003e         0a08e420062f39070308ff
241b003f         0a08e420062f39070304ff
241b003c         0908e420042f39070000
241b003d         0a08e420062f39070310ff
241b0022         0a08e420062f39030320ff
241b0023         0a08e420062f39030300ff
241b0020         0a08e420062f39020302ff
241b0021         0a08e420062f39020301ff
241b0026         0a08e420062f39030308ff
241b0027         0a08e420062f39030304ff
241b0024         0908e420042f39030000
241b0025         0a08e420062f39030310ff
241b002a         0a08e420062f39040301ff
241b002b         0a08e420062f39040300ff
241b0028         0a08e420062f39030302ff
241b0029         0a08e420062f39030301ff
241b002e         0a08e420062f39050300ff
241b002f         0908e420042f39050000
241b002c         0908e420042f39040000
241b002d         0a08e420062f39050310ff
241b0012         10000002000209080322090d0000000009083000000000000000
241b0013         1000000200020908032209110000000009083000000000000000
241b0010         10000002000209080322f1980000000009083000000000000000
241b0011         1000000200020908032209100000000009083000000000000000
241b0016         0a08e420062f39010300ff
241b0017         0908e420042f39010000
241b0014         10000002000209080322090e0000000009083000000000000000
241b0015         0a08e420062f39010308ff
241b001a         0a08e420062f39010301ff
241b001b         0a08e420062f39020310ff
241b0018         0a08e420062f39010304ff
241b0019         0a08e420062f39010302ff
241b001e         0a08e420062f39020308ff
241b001f         0a08e420062f39020304ff
241b001c         0a08e420062f39020300ff
241b001d         0908e420042f39020000
241b0002         0102a0ff07d00908023e000000000000
241b0003         0102000000000908023e000000000000
241b0001         10000001000009080210010000000000
241b0006         10000002000209080414ffffff00000009083000000000000000
241b0007         10000002000209080322f1860000000009083000000000000000
241b0004         1000000200020908031902010000000009083000000000000000
241b0005         1000000200020908031902080000000009083000000000000000
241b000a         10000002000209080322f18b0000000009083000000000000000
241b000b         10000002000209080322f18c0000000009083000000000000000
241b0008         10000002000209080322f1870000000009083000000000000000
241b0009         10000002000209080322f18a0000000009083000000000000000
241b000e         10000002000209080322f1950000000009083000000000000000
241b000f         10000002000209080322f1900000000009083000000000000000
241b000c         10000002000209080322f1970000000009083000000000000000
241b000d         10000002000209080322f1930000000009083000000000000000
241b0072         0b08e420072f390d030010ff
241b0073         0b08e420072f390d030020ff
241b0070         0b08e420072f390d030300ff
241b0071         0b08e420072f390d000400ff
241b0076         0b08e420072f390d030001ff
241b0077         0b08e420072f390d030002ff
241b0074         0b08e420072f390d030030ff
241b0075         0b08e420072f390d030040ff
241b007a         0a08e420062f39210380ff
241b007b         0a08e420062f39210300ff
241b0078         0b08e420072f390d030003ff
241b0079         0b08e420072f390d030004ff
241b007e         0a08e420062f39210320ff
241b007f         0a08e420062f39210310ff
241b007c         0908e420042f39210000
241b007d         0a08e420062f39210340ff
241b0062         0b08e420072f390c030300ff
241b0063         0b08e420072f390c030400ff
241b0060         0b08e420072f390c030100ff
241b0061         0b08e420072f390c030200ff
241b0066         0b08e420072f390c030003ff
241b0067         0b08e420072f390c030004ff
241b0064         0b08e420072f390c030001ff
241b0065         0b08e420072f390c030002ff
241b006a         0b08e420072f390d032000ff
241b006b         0b08e420072f390d033000ff
241b0068         0b08e420072f390d030000ff
241b0069         0b08e420072f390d031000ff
241b006e         0b08e420072f390d030100ff
241b006f         0b08e420072f390d030200ff
241b006c         0b08e420072f390d004000ff
241b006d         0908e420042f390d0000
