ffffff11         068200001a906d
0006000e         1000000200020908032203010000000009083000000000000000
0006000f         1000000200020908032202700000000009083000000000000000
00060008         10000002000209080322ff000000000009083000000000000000
00060009         10000002000209080322f1ef0000000009083000000000000000
0006000a         10000002000209080322f1400000000009083000000000000000
0006000b         10000002000209080322f1410000000009083000000000000000
00060030         1000000200020908032202910000000009083000000000000000
00060031         1000000200020908032202920000000009083000000000000000
00060032         1000000200020908032202930000000009083000000000000000
00060033         1000000200020908032202940000000009083000000000000000
00060024         1000000200020908032202850000000009083000000000000000
00060025         1000000200020908032202860000000009083000000000000000
00060026         1000000200020908032202870000000009083000000000000000
00060027         1000000200020908032202880000000009083000000000000000
00060020         1000000200020908032202810000000009083000000000000000
00060021         1000000200020908032202820000000009083000000000000000
00060022         1000000200020908032202830000000009083000000000000000
00060023         1000000200020908032202840000000009083000000000000000
0006002c         10000002000209080322028d0000000009083000000000000000
0006002d         10000002000209080322028e0000000009083000000000000000
0006002e         10000002000209080322028f0000000009083000000000000000
0006002f         1000000200020908032202900000000009083000000000000000
00060028         1000000200020908032202890000000009083000000000000000
00060029         10000002000209080322028a0000000009083000000000000000
0006002a         10000002000209080322028b0000000009083000000000000000
0006002b         10000002000209080322028c0000000009083000000000000000
00030004         10000002000209080322f1230000000009083000000000000000
00030005         10000002000209080322f1240000000009083000000000000000
00030006         10000002000209080322f1250000000009083000000000000000
00030001         10000002000209080322f1200000000009083000000000000000
00030002         10000002000209080322f1210000000009083000000000000000
00030003         10000002000209080322f1220000000009083000000000000000
00020014         1000000200020908032201a40000000009083000000000000000
00020015         1000000200020908032201a50000000009083000000000000000
00020016         1000000200020908032201a60000000009083000000000000000
00020017         1000000200020908032201a70000000009083000000000000000
00020010         1000000200020908032201a00000000009083000000000000000
00020011         1000000200020908032201a10000000009083000000000000000
00020012         1000000200020908032201a20000000009083000000000000000
00020013         1000000200020908032201a30000000009083000000000000000
0002001c         1000000200020908032201ac0000000009083000000000000000
0002001d         1000000200020908032201ad0000000009083000000000000000
0002001e         1000000200020908032201ae0000000009083000000000000000
0002001f         1000000200020908032201af0000000009083000000000000000
00020018         1000000200020908032201a80000000009083000000000000000
00020019         1000000200020908032201a90000000009083000000000000000
0002001a         1000000200020908032201aa0000000009083000000000000000
0002001b         1000000200020908032201ab0000000009083000000000000000
00020004         10000002000209080322f1000000000009083000000000000000
00020005         10000002000209080322f1010000000009083000000000000000
00020006         10000002000209080322f1020000000009083000000000000000
00020007         10000002000209080322f1030000000009083000000000000000
00020001         10000002000209080322f1100000000009083000000000000000
00020002         10000002000209080322f1110000000009083000000000000000
00020003         10000002000209080322f1120000000009083000000000000000
0002000c         10000002000209080322f1080000000009083000000000000000
0002000d         10000002000209080322f1090000000009083000000000000000
0002000e         10000002000209080322f10a0000000009083000000000000000
0002000f         10000002000209080322f10b0000000009083000000000000000
00020008         10000002000209080322f1040000000009083000000000000000
00020009         10000002000209080322f1050000000009083000000000000000
0002000a         10000002000209080322f1060000000009083000000000000000
0002000b         10000002000209080322f1070000000009083000000000000000
00020024         1000000200020908032201b40000000009083000000000000000
00020025         1000000200020908032201b50000000009083000000000000000
00020026         0908e440052fe0500301
00020027         0908e440052fe0500302
00020020         1000000200020908032201b00000000009083000000000000000
00020021         1000000200020908032201b10000000009083000000000000000
00020022         1000000200020908032201b20000000009083000000000000000
00020023         1000000200020908032201b30000000009083000000000000000
00020028         0908e440052fe0500303
00020029         0908e440052fe0500300
00010014         10000002000209080322010e0000000009083000000000000000
00010015         1000000200020908032201060000000009083000000000000000
00010016         1000000200020908032201020000000009083000000000000000
00010017         1000000200020908032201070000000009083000000000000000
00010010         10000002000209080322010a0000000009083000000000000000
00010011         10000002000209080322010b0000000009083000000000000000
00010012         10000002000209080322010c0000000009083000000000000000
