5769003a         100000020002090803221a900000000009083000010000000000
57690039         100000020002090803221a920000000009083000010000000000
57690038         100000020002090803221a910000000009083000010000000000
57690027         100000020002090803221a540000000009083000010000000000
57690026         100000020002090803221a530000000009083000010000000000
57690025         100000020002090803221a520000000009083000010000000000
57690024         100000020002090803221a510000000009083000010000000000
57690023         100000020002090803221a500000000009083000010000000000
57690022         100000020002090803221a420000000009083000010000000000
57690021         100000020002090803221a410000000009083000010000000000
57690020         100000020002090803221a400000000009083000010000000000
5769002f         100000020002090803221a700000000009083000010000000000
5769002e         100000020002090803221a600000000009083000010000000000
5769002d         100000020002090803221a5a0000000009083000010000000000
5769002c         100000020002090803221a590000000009083000010000000000
5769002b         100000020002090803221a580000000009083000010000000000
5769002a         100000020002090803221a570000000009083000010000000000
57690029         100000020002090803221a560000000009083000010000000000
57690028         100000020002090803221a550000000009083000010000000000
57680007         0e08e6800a2ef11100000000000000
57680006         0708e6800322f111
57680005         0e08e6800a2ef11000000000000000
57680004         0708e6800322f110
57680003         1000000200020908032264180000000009083000010000000000
57680002         10000002000209080322f1020000000009083000010000000000
57680001         10000001000009080627026b558a4c00
57680009         0f08e6800b2ef1020000000000000000
57680008         0708e6800322f102
576d0004         10000002000209080322ce000000000009083000010000000000
576d0003         10000002000209080322f15a0000000009083000010000000000
576d0002         1000000200020908031902490000000009083000010000000000
576d0001         1000000200020908021001000000000009083000010000000000
57770001         1000000100000908062702d6f33a9900
57780005         0e08e2a00a2ef11100000000000000
57780004         0708e2a00322f111
57780003         0e08e2a00a2ef11000000000000000
57780002         0708e2a00322f110
57780001         10000001000009080627028f1497f900
574f0007         10000002000209080322f1860000000009083000010000000000
574f0006         100000020002090803220f010000000009083000010000000000
574f0005         100000020002090803220f000000000009083000010000000000
574f0004         100000020002090803220f050000000009083000010000000000
574f0003         10000002000209080322f1950000000009083000010000000000
574f0002         10000002000209080322f1920000000009083000010000000000
574f0001         1000000100000908062702ac7c1bbc00
574f000e         0908e6e0052ef1130000
574f000d         0708e6e00322f113
574f000c         0e08e6e00a2ef11100000000000000
574f000b         0708e6e00322f111
574f000a         0e08e6e00a2ef11000000000000000
574f0009         0708e6e00322f110
574f0008         100000020002090803220f040000000009083000010000000000
574e0007         0e08e0e00a2ef11100000000000000
574e0006         0708e0e00322f111
574e0005         0e08e0e00a2ef11000000000000000
574e0004         0708e0e00322f110
574e0003         1000000200020908032208020000000009083000010000000000
574e0002         1000000200020908032208010000000009083000010000000000
574e0001         10000001000009080627024208157100
574d0057         0d08e0c0092f30b4030800000000
574d0056         0d08e0c0092f30b4030400000000
574d0055         0d08e0c0092f30b4030200000000
574d0054         0d08e0c0092f30b4030000000000
574d0053         0d08e0c0092f30b4030100000000
574d0052         0d08e0c0092f30b2030000000001
574d0051         0d08e0c0092f30b2030000020000
574d0050         0d08e0c0092f30b2030008000000
574d005f         0908e0c0052f30b80301
574d005e         0908e0c0052f30b70302
574d005d         0908e0c0052f30b70300
574d005c         0908e0c0052f30b70301
574d005b         0d08e0c0092f30b4030000000001
574d005a         0d08e0c0092f30b4030000000100
574d0059         0d08e0c0092f30b4030000010000
574d0058         0d08e0c0092f30b4030001000000
574d0047         10000002000209080322073e0000000009083000010000000000
574d0046         10000002000209080322073d0000000009083000010000000000
574d0045         10000002000209080322073c0000000009083000010000000000
574d0044         1000000200020908032207380000000009083000010000000000
574d0043         1000000200020908032207370000000009083000010000000000
574d0042         1000000200020908032207360000000009083000010000000000
574d0041         1000000200020908032207350000000009083000010000000000
574d0040         1000000200020908032207340000000009083000010000000000
574d004f         0d08e0c0092f30b2030001000000
574d004e         0d08e0c0092f30b2030800000000
574d004d         0d08e0c0092f30b2030000000000
574d004c         0d08e0c0092f30b2030100000000
574d004b         1000000200020908032207420000000009083000010000000000
574d004a         1000000200020908032207410000000009083000010000000000
574d0049         1000000200020908032207400000000009083000010000000000
574d0048         10000002000209080322073f0000000009083000010000000000
574d0070         10000001000009080211030000000000
574d0067         0908e0c0052f30bc0302
574d0066         0908e0c0052f30bc0300
574d0065         0908e0c0052f30bc0301
574d0064         0908e0c0052f30bb0302
574d0063         0908e0c0052f30bb0300
574d0062         0908e0c0052f30bb0301
574d0061         0908e0c0052f30b80302
574d0060         0908e0c0052f30b80300
574d006f         10000001000009080211010000000000
574d006e         0e08e0c00a2ef11100000000000000
574d006d         0708e0c00322f111
574d006c         0e08e0c00a2ef11000000000000000
574d006b         0708e0c00322f110
574d006a         0908e0c0052f30c10302
574d0069         0908e0c0052f30c10300
574d0068         0908e0c0052f30c10301
574d0017         10000002000209080322f1100000000009083000010000000000
574d0016         10000002000209080322f15b0000000009083000010000000000
574d0015         10000002000209080322f19e0000000009083000010000000000
574d0014         10000002000209080322f1800000000009083000010000000000
574d0013         10000002000209080322f1630000000009083000010000000000
574d0012         10000002000209080322f1600000000009083000010000000000
574d0011         10000002000209080322f15e0000000009083000010000000000
574d0010         10000002000209080322f15d0000000009083000010000000000
574d001f         1000000200020908032207050000000009083000010000000000
574d001e         1000000200020908032207040000000009083000010000000000
574d001d         1000000200020908032207030000000009083000010000000000
574d001c         1000000200020908032207020000000009083000010000000000
574d001b         1000000200020908032207010000000009083000010000000000
574d001a         1000000200020908032207000000000009083000010000000000
574d0019         10000002000209080322f1640000000009083000010000000000
574d0018         10000002000209080322f1110000000009083000010000000000
574d0007         1000000200020908031902090000000009083000010000000000
574d0006         0102000000000908023e000000000000
574d0005         10000001000009080210010000000000
574d0004         0102a0ff05dc0908023e000000000000
574d0003         10000001000009080627028311213700
574d0002         10000001000009080227010000000000
574d0001         1000000200020908021003000000000009083000010000000000
574d000f         10000002000209080322f1900000000009083000010000000000
574d000e         10000002000209080322f18c0000000009083000010000000000
574d000d         10000002000209080322f1910000000009083000010000000000
574d000c         10000002000209080322f1970000000009083000010000000000
574d000b         10000002000209080322f18a0000000009083000010000000000
574d000a         10000002000209080322f1880000000009083000010000000000
574d0009         10000002000209080322f1870000000009083000010000000000
574d0008         10000002000209080414ffffff00000009083000010000000000
